% Model,Midshipman_SF_monostatic.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 9 2026, 13:57"
% Table,Table 2 - Global Evaluation 1
% theta (degree),freq (Hz),Target Strength
29.999999999999996,70000,-101.07119932657614
31,10000,-101.5707227837092
31,30000,-106.40381420080799
31,50000,-101.49586910924137
31,70000,-101.2893432225863
32,10000,-101.57957010809875
32,30000,-106.4881499724133
32,50000,-101.65070417138651
32,70000,-101.51451043521037
33,10000,-101.58917281818876
33,30000,-106.57762029145536
33,50000,-101.81275048405428
33,70000,-101.74564101114422
34,10000,-101.59951969798898
34,30000,-106.67201166742062
34,50000,-101.98167667490269
34,70000,-101.98173438274715
35,10000,-101.61059871039492
35,30000,-106.77109589821997
35,50000,-102.1571493965
35,70000,-102.22186440311413
36,10000,-101.62239700868764
36,30000,-106.8746297554338
36,50000,-102.33883542303757
36,70000,-102.46519226495829
37,10000,-101.63490094864801
37,30000,-106.98235472914934
37,50000,-102.52640381943922
37,70000,-102.71097639508177
38,10000,-101.64809610133746
38,30000,-107.09399685130946
38,50000,-102.71952814348893
38,70000,-102.95857854533
39,10000,-101.66196726652274
39,30000,-107.20926661852974
39,50000,-102.91788863597017
39,70000,-103.20746551974378
40,10000,-101.67649848673749
40,30000,-107.32785903679242
40,50000,-103.12117434748338
40,70000,-103.45720625914174
41,10000,-101.69167306199463
41,30000,-107.44945381231256
41,50000,-103.32908514724998
41,70000,-103.70746433447002
42,10000,-101.70747356515228
42,30000,-107.5737157138204
42,50000,-103.54133355585027
42,70000,-103.95798622580843
43,10000,-101.72388185792246
43,30000,-107.70029513212657
43,50000,-103.75764634396543
43,70000,-104.20858606796133
44,10000,-101.74087910753474
44,30000,-107.8288288624711
44,50000,-103.97776584005376
44,70000,-104.45912777894222
45,10000,-101.75844580404708
45,30000,-107.958941134197
45,50000,-104.2014508945046
45,70000,-104.70950565029676
46,10000,-101.77656177831956
46,30000,-108.09024490957628
46,50000,-104.42847745303204
46,70000,-104.95962454516012
47,10000,-101.7952062206337
47,30000,-108.22234347018254
47,50000,-104.6586387009789
47,70000,-105.20938083733675
48.00000000000001,10000,-101.8143576999755
48.00000000000001,30000,-108.3548323037815
48.00000000000001,50000,-104.89174474938196
48.00000000000001,70000,-105.4586451375553
49,10000,-101.83399418397174
49,30000,-108.48730129768661
49,50000,-105.12762184486957
49,70000,-105.70724771311345
50,10000,-101.85409305949484
